linear old,neural old,linear new,neural new
0.97,0.905,0.95,0.905
0.955,0.965,0.95,0.96
0.95,0.97,0.935,0.985
0.95,0.99,0.94,0.995
0.925,0.965,0.935,0.99
0.935,0.94,0.95,0.945
0.895,0.77,0.95,0.955
0.745,0.55,0.945,0.945
0.545,0.215,0.97,0.96
0.32,0.07,0.965,0.975
0.11,0.02,0.95,0.95
0.025,0.0,0.97,0.96
0.005,0.0,0.975,0.955
0.0,0.0,0.955,0.955
0.0,0.0,0.965,0.945
0.0,0.0,0.945,0.925
0.0,0.0,0.935,0.905
0.0,0.0,0.94,0.93
0.0,0.0,0.9,0.895
0.0,0.0,0.895,0.875
0.0,0.0,0.77,0.86
0.0,0.0,0.76,0.805
0.0,0.0,0.68,0.815
0.0,0.0,0.635,0.82
0.0,0.0,0.51,0.67
0.0,0.0,0.41,0.605
0.0,0.0,0.395,0.615
0.0,0.0,0.285,0.535
0.0,0.0,0.195,0.46
0.0,0.0,0.12,0.41
0.0,0.0,0.115,0.34
0.0,0.0,0.09,0.28
0.0,0.0,0.085,0.24
0.0,0.0,0.05,0.18
0.0,0.0,0.01,0.16
