linear old,neural old,linear new,neural new
1.0,1.0,1.0,1.0
1.0,1.0,0.995,1.0
1.0,1.0,1.0,1.0
0.985,1.0,0.995,1.0
0.875,0.915,0.99,0.99
0.65,0.615,1.0,0.96
0.325,0.18,1.0,0.975
0.055,0.025,0.99,0.945
0.005,0.0,0.995,0.95
0.0,0.0,0.98,0.935
0.0,0.0,0.965,0.94
0.0,0.0,0.935,0.895
0.0,0.0,0.86,0.79
0.0,0.0,0.81,0.815
0.0,0.0,0.68,0.79
0.0,0.0,0.66,0.725
0.0,0.0,0.53,0.65
0.0,0.0,0.425,0.58
0.0,0.0,0.23,0.445
0.0,0.0,0.17,0.36
0.0,0.0,0.11,0.325
0.0,0.0,0.075,0.23
0.0,0.0,0.01,0.135
0.0,0.0,0.02,0.135
0.0,0.0,0.015,0.11
0.0,0.0,0.0,0.035
0.0,0.0,0.0,0.05
0.0,0.0,0.0,0.03
0.0,0.0,0.0,0.01
0.0,0.0,0.0,0.005
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
