linear old,neural old,linear new,neural new
0.82,0.4,0.765,0.4
0.44,0.505,0.455,0.545
0.405,0.645,0.43,0.725
0.47,0.815,0.45,0.795
0.47,0.805,0.465,0.63
0.425,0.775,0.46,0.575
0.425,0.8,0.435,0.495
0.475,0.81,0.475,0.465
0.445,0.64,0.425,0.445
0.445,0.475,0.525,0.49
0.465,0.285,0.47,0.445
0.415,0.195,0.415,0.41
0.385,0.085,0.46,0.415
0.22,0.015,0.51,0.45
0.12,0.0,0.45,0.375
0.105,0.0,0.465,0.415
0.02,0.0,0.47,0.405
0.01,0.0,0.48,0.415
0.005,0.0,0.47,0.405
0.005,0.0,0.46,0.38
0.0,0.0,0.505,0.39
0.0,0.0,0.46,0.315
0.0,0.0,0.445,0.355
0.0,0.0,0.52,0.395
0.0,0.0,0.46,0.35
0.0,0.0,0.485,0.365
0.0,0.0,0.485,0.34
0.0,0.0,0.47,0.34
0.0,0.0,0.495,0.36
0.0,0.0,0.42,0.3
0.0,0.0,0.385,0.235
0.0,0.0,0.43,0.295
0.0,0.0,0.41,0.295
0.0,0.0,0.355,0.28
0.0,0.0,0.31,0.255
