linear old,neural old,linear new,neural new
0.805,0.365,0.7,0.33
0.43,0.66,0.415,0.59
0.5,0.825,0.43,0.59
0.445,0.83,0.48,0.545
0.4,0.69,0.485,0.455
0.415,0.345,0.435,0.375
0.28,0.165,0.4,0.38
0.125,0.01,0.435,0.275
0.08,0.0,0.38,0.22
0.01,0.0,0.41,0.26
0.0,0.0,0.4,0.2
0.0,0.0,0.375,0.145
0.0,0.0,0.39,0.12
0.0,0.0,0.425,0.13
0.0,0.0,0.38,0.04
0.0,0.0,0.265,0.03
0.0,0.0,0.185,0.02
0.0,0.0,0.235,0.02
0.0,0.0,0.12,0.0
0.0,0.0,0.05,0.0
0.0,0.0,0.015,0.0
0.0,0.0,0.015,0.0
0.0,0.0,0.005,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
