linear old,neural old,linear new,neural new
0.99,0.95,0.97,0.925
0.955,0.99,0.955,0.955
0.94,0.985,0.93,0.96
0.795,0.805,0.945,0.94
0.405,0.255,0.945,0.915
0.105,0.03,0.945,0.835
0.015,0.0,0.96,0.895
0.0,0.0,0.93,0.85
0.0,0.0,0.935,0.84
0.0,0.0,0.91,0.715
0.0,0.0,0.865,0.715
0.0,0.0,0.815,0.645
0.0,0.0,0.785,0.6
0.0,0.0,0.65,0.515
0.0,0.0,0.52,0.32
0.0,0.0,0.44,0.3
0.0,0.0,0.31,0.175
0.0,0.0,0.26,0.11
0.0,0.0,0.12,0.075
0.0,0.0,0.03,0.015
0.0,0.0,0.04,0.025
0.0,0.0,0.03,0.015
0.0,0.0,0.01,0.005
0.0,0.0,0.01,0.005
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
