linear old,neural old,linear new,neural new
1.0,1.0,1.0,1.0
0.955,0.995,1.0,0.985
0.74,0.88,0.995,0.995
0.22,0.24,0.995,0.955
0.01,0.02,0.985,0.87
0.0,0.0,0.955,0.905
0.0,0.0,0.93,0.875
0.0,0.0,0.91,0.86
0.0,0.0,0.815,0.805
0.0,0.0,0.63,0.685
0.0,0.0,0.62,0.62
0.0,0.0,0.475,0.455
0.0,0.0,0.295,0.345
0.0,0.0,0.295,0.345
0.0,0.0,0.185,0.205
0.0,0.0,0.08,0.125
0.0,0.0,0.03,0.04
0.0,0.0,0.015,0.035
0.0,0.0,0.01,0.015
0.0,0.0,0.0,0.015
0.0,0.0,0.0,0.005
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
