linear old,neural old,linear new,neural new
0.81,0.365,0.72,0.355
0.455,0.58,0.47,0.555
0.435,0.67,0.42,0.75
0.435,0.795,0.475,0.725
0.49,0.82,0.49,0.61
0.48,0.82,0.44,0.49
0.5,0.745,0.455,0.495
0.425,0.61,0.455,0.445
0.425,0.38,0.455,0.39
0.385,0.21,0.465,0.38
0.31,0.065,0.45,0.41
0.175,0.015,0.445,0.385
0.14,0.0,0.455,0.36
0.045,0.0,0.46,0.33
0.015,0.0,0.435,0.32
0.0,0.0,0.49,0.365
0.0,0.0,0.44,0.355
0.0,0.0,0.45,0.355
0.0,0.0,0.495,0.335
0.0,0.0,0.405,0.31
0.0,0.0,0.4,0.31
0.0,0.0,0.435,0.25
0.0,0.0,0.475,0.31
0.0,0.0,0.42,0.26
0.0,0.0,0.42,0.235
0.0,0.0,0.41,0.265
0.0,0.0,0.43,0.23
0.0,0.0,0.42,0.23
0.0,0.0,0.395,0.22
0.0,0.0,0.38,0.155
0.0,0.0,0.325,0.165
0.0,0.0,0.28,0.135
0.0,0.0,0.24,0.07
0.0,0.0,0.235,0.14
0.0,0.0,0.205,0.105
