linear old,neural old,linear new,neural new
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.99,1.0,1.0,1.0
0.9,0.935,0.99,0.985
0.735,0.705,1.0,0.985
0.26,0.22,1.0,0.955
0.03,0.015,0.99,0.905
0.0,0.0,0.985,0.93
0.0,0.0,0.975,0.94
0.0,0.0,0.96,0.915
0.0,0.0,0.9,0.915
0.0,0.0,0.8,0.81
0.0,0.0,0.7,0.76
0.0,0.0,0.66,0.705
0.0,0.0,0.52,0.59
0.0,0.0,0.42,0.535
0.0,0.0,0.29,0.525
0.0,0.0,0.145,0.37
0.0,0.0,0.06,0.27
0.0,0.0,0.05,0.205
0.0,0.0,0.01,0.125
0.0,0.0,0.01,0.085
0.0,0.0,0.01,0.09
0.0,0.0,0.0,0.035
0.0,0.0,0.0,0.02
0.0,0.0,0.0,0.055
0.0,0.0,0.0,0.02
0.0,0.0,0.0,0.01
0.0,0.0,0.0,0.015
0.0,0.0,0.0,0.005
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
