Neural old,Neural new
4,2
4,2
4,2
4,2
4,2
5,2
4,3
5,2
4,2
3,2
4,2
3,2
5,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
5,2
4,2
5,3
3,2
5,2
4,2
4,2
4,2
5,2
4,2
3,2
4,2
4,2
4,2
5,2
4,2
3,2
4,2
4,2
4,2
5,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
3,2
4,2
4,2
6,2
4,2
4,2
4,1
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
5,2
4,2
4,2
5,2
4,2
4,2
4,2
4,2
4,2
4,2
3,2
4,2
5,2
3,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
3,2
