linear old,neural old,linear new,neural new
0.9942354595661164,1.0036640709638596,0.9946767729520798,1.0042138600349426
1.199267217516899,1.2965985822677613,1.0446593260765076,1.1430235481262208
1.4592814373970031,1.813579080104828,1.077363776564598,1.3912949168682098
1.8522371530532837,2.5505608534812927,1.1378529661893844,1.6314778697490693
2.590476794242859,3.530317544937134,1.154726802110672,1.5412839156389238
3.6314050233364106,4.6313009095191955,1.2248579722642898,1.569341596364975
5.035210161209107,5.877548718452454,1.2333892899751664,1.4266030955314637
6.613962445259094,7.0878119468688965,1.2986938989162444,1.5653766477108002
7.9042410564422605,8.240137643814087,1.3415804010629655,1.5605270463228225
9.035610146522522,9.325906758308411,1.4290653109550475,1.6378835022449494
10.11253101348877,10.376364278793336,1.5068962669372559,1.7703045797348023
11.34582335472107,11.531067514419556,1.6492844653129577,1.883248769044876
12.499134149551391,12.662722997665405,1.9277820944786073,2.057839792966843
13.398761177062989,13.609529495239258,1.9737723612785338,2.1835525143146515
14.27671573638916,14.455870141983032,2.3114350306987763,2.2108076298236847
15.530870399475099,15.816488399505616,2.8122269850969315,2.6296624433994293
16.571562585830687,16.762196159362794,3.3770489728450777,3.0390713167190553
17.665256404876708,17.810655126571657,4.0594804418087005,3.690346976518631
18.609947957992553,18.800458087921143,5.425630884170532,4.129896057844162
19.686327409744262,19.92983247756958,6.709287611246109,5.167086530923843
20.661199741363525,20.894935760498047,7.71188747048378,6.084825528860092
21.862303466796874,22.14372772216797,10.325299661159516,7.474356774091721
22.7841965675354,22.993494148254396,10.844039570093155,7.622918162345886
23.35559923171997,23.602787342071533,13.386763169765473,9.307925077676773
24.818692951202394,25.091274452209472,15.721977756023406,11.151212533712387
25.71253787994385,25.99027763366699,17.69943830728531,12.458165819644927
26.817239360809324,27.08067985534668,20.100905346870423,15.203486137390136
27.821464004516603,28.090786037445067,20.466271187067033,15.702779343128205
28.480368900299073,28.810277652740478,21.986533725261687,17.834489517211914
29.864951553344728,30.09478023529053,24.760444716215133,20.44217583179474
30.779705657958985,31.063530654907225,26.036799321174623,21.949638361930848
