linear old,neural old,linear new,neural new
0.845,0.415,0.71,0.395
0.37,0.525,0.4,0.595
0.45,0.795,0.39,0.67
0.465,0.855,0.46,0.615
0.465,0.825,0.44,0.545
0.47,0.79,0.48,0.48
0.37,0.5,0.495,0.38
0.345,0.3,0.505,0.48
0.325,0.13,0.43,0.38
0.175,0.03,0.42,0.38
0.08,0.005,0.47,0.33
0.025,0.0,0.465,0.37
0.0,0.0,0.445,0.305
0.0,0.0,0.43,0.285
0.0,0.0,0.485,0.355
0.0,0.0,0.425,0.275
0.0,0.0,0.465,0.245
0.0,0.0,0.445,0.26
0.0,0.0,0.41,0.215
0.0,0.0,0.425,0.2
0.0,0.0,0.39,0.185
0.0,0.0,0.43,0.135
0.0,0.0,0.34,0.145
0.0,0.0,0.37,0.105
0.0,0.0,0.25,0.09
0.0,0.0,0.315,0.095
0.0,0.0,0.22,0.075
0.0,0.0,0.19,0.025
0.0,0.0,0.125,0.04
0.0,0.0,0.1,0.015
0.0,0.0,0.115,0.025
0.0,0.0,0.06,0.025
0.0,0.0,0.02,0.0
0.0,0.0,0.025,0.0
0.0,0.0,0.015,0.0
