linear old,neural old,linear new,neural new
1.0,1.0,1.0,1.0
0.99,1.0,1.0,1.0
0.93,0.99,1.0,1.0
0.73,0.775,1.0,0.99
0.225,0.185,1.0,0.94
0.025,0.01,0.99,0.925
0.0,0.0,0.985,0.93
0.0,0.0,0.935,0.93
0.0,0.0,0.93,0.89
0.0,0.0,0.88,0.85
0.0,0.0,0.795,0.795
0.0,0.0,0.645,0.715
0.0,0.0,0.555,0.655
0.0,0.0,0.385,0.58
0.0,0.0,0.33,0.47
0.0,0.0,0.19,0.295
0.0,0.0,0.09,0.295
0.0,0.0,0.06,0.2
0.0,0.0,0.065,0.2
0.0,0.0,0.02,0.085
0.0,0.0,0.005,0.075
0.0,0.0,0.0,0.03
0.0,0.0,0.0,0.035
0.0,0.0,0.0,0.02
0.0,0.0,0.0,0.005
0.0,0.0,0.0,0.005
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
