linear old,neural old,linear new,neural new
0.975,0.945,0.96,0.94
0.945,0.955,0.935,0.95
0.96,0.985,0.945,0.985
0.94,0.955,0.955,0.945
0.845,0.835,0.97,0.97
0.64,0.5,0.975,0.945
0.25,0.115,0.96,0.95
0.105,0.015,0.96,0.955
0.005,0.0,0.94,0.875
0.0,0.0,0.97,0.925
0.0,0.0,0.94,0.88
0.0,0.0,0.925,0.88
0.0,0.0,0.925,0.905
0.0,0.0,0.84,0.84
0.0,0.0,0.8,0.785
0.0,0.0,0.83,0.805
0.0,0.0,0.765,0.79
0.0,0.0,0.685,0.65
0.0,0.0,0.59,0.62
0.0,0.0,0.39,0.485
0.0,0.0,0.42,0.48
0.0,0.0,0.385,0.435
0.0,0.0,0.25,0.305
0.0,0.0,0.195,0.245
0.0,0.0,0.115,0.185
0.0,0.0,0.065,0.14
0.0,0.0,0.07,0.09
0.0,0.0,0.05,0.08
0.0,0.0,0.025,0.03
0.0,0.0,0.005,0.02
0.0,0.0,0.005,0.015
0.0,0.0,0.0,0.01
0.0,0.0,0.0,0.005
0.0,0.0,0.0,0.005
0.0,0.0,0.0,0.0
